Date,Dead
2020-01-22,17
2020-01-23,18
2020-01-24,26
2020-01-25,42
2020-01-26,56
2020-01-27,82
2020-01-28,131
2020-01-29,133
2020-01-30,171
2020-01-31,213
2020-02-01,259
2020-02-02,362
2020-02-03,426
2020-02-04,492
2020-02-05,564
2020-02-06,634
2020-02-07,719
2020-02-08,806
2020-02-09,906
2020-02-10,1013
2020-02-11,1113
2020-02-12,1118
2020-02-13,1371
2020-02-14,1523
2020-02-15,1666
2020-02-16,1770
2020-02-17,1868
2020-02-18,2007
2020-02-19,2122
2020-02-20,2247
2020-02-21,2251
2020-02-22,2458
2020-02-23,2469
2020-02-24,2629
2020-02-25,2708
2020-02-26,2770
2020-02-27,2814
2020-02-28,2872
2020-02-29,2941
2020-03-01,2996
2020-03-02,3085
2020-03-03,3160
2020-03-04,3254
2020-03-05,3347
2020-03-06,3459
2020-03-07,3558
2020-03-08,3801
2020-03-09,3987
2020-03-10,4263
2020-03-11,4610
2020-03-12,4913
2020-03-13,5411
2020-03-14,5831
2020-03-15,6471
2020-03-16,7151
2020-03-17,7957
2020-03-18,8852
2020-03-19,9958
2020-03-20,11439
2020-03-21,13141
2020-03-22,14840
2020-03-23,16758
2020-03-24,19026
2020-03-25,21799
2020-03-26,24800
2020-03-27,28308
2020-03-28,31990
2020-03-29,35456
2020-03-30,39604
2020-03-31,44440
2020-04-01,49968
2020-04-02,56251
2020-04-03,62213
2020-04-04,68044
2020-04-05,73031
2020-04-06,78862
2020-04-07,86765
2020-04-08,93457
2020-04-09,101043
2020-04-10,108286
2020-04-11,114307
2020-04-12,120007
2020-04-13,125730
2020-04-14,132621
2020-04-15,140886
2020-04-16,148157
2020-04-17,157022
2020-04-18,163452
2020-04-19,167983
2020-04-20,173381
2020-04-21,180475
2020-04-22,187174
2020-04-23,193926
2020-04-24,200266
2020-04-25,206459
2020-04-26,210192
2020-04-27,214747
2020-04-28,221109
2020-04-29,227992
2020-04-30,233687
2020-05-01,238942
2020-05-02,244129
2020-05-03,247797
2020-05-04,251890
2020-05-05,257612
2020-05-06,264196
2020-05-07,269905
2020-05-08,275250
2020-05-09,279661
2020-05-10,283086
2020-05-11,286697
2020-05-12,292319
2020-05-13,297539
2020-05-14,302813
2020-05-15,307998
2020-05-16,312150
2020-05-17,315546
2020-05-18,318853
2020-05-19,323662
2020-05-20,328483
2020-05-21,333292
2020-05-22,338585
2020-05-23,342565
2020-05-24,345412
2020-05-25,346583
2020-05-26,350807
2020-05-27,355990
2020-05-28,360686
2020-05-29,365380
2020-05-30,369492
2020-05-31,372373
2020-06-01,375902
2020-06-02,380599
2020-06-03,386298
2020-06-04,391472
2020-06-05,396294
2020-06-06,400107
2020-06-07,402856
2020-06-08,406600
2020-06-09,411461
2020-06-10,416670
2020-06-11,421461
2020-06-12,425780
2020-06-13,430047
2020-06-14,433391
2020-06-15,436899
2020-06-16,443685
2020-06-17,448959
